Shampoo Bottle grasping and Ungrasping
14:23:33:736 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:744 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:744 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:744 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:744 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:744 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:744 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:744 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mAA4=0.03, PA3=15.24, PA2=0.04, PA1=0.08, PA0=0.09
14:23:33:990 -> FSR Live: PB0=0.01, PA7=0.01, PA6=26.04, PA5=0.00, PA4=0.05, PA3=15.21, PA2=0.06, PA1=0.09, PA0=0.03
14:23:34:235 -> FSR Live: PB0=0.00, PA7=0.00, PA6=25.99, PA5=0.01, PA4=0.06, PA3=15.26, PA2=0.03, PA1=0.03, PA0=0.01
14:23:34:241 -> 50149,2400,S0=47.75 mA, S1=48.08 mA, S2=45.43 mA, S3=50.05 mA, S4=53.78 mA
14:23:34:789 -> FSR Live: PB0=0.01, PA7=0.01, PA6=26.14, PA5=0.03, PA4=0.04, PA3=15.19, PA2=0.05, PA1=0.06, PA0=0.06
14:23:35:034 -> FSR Live: PB0=0.01, PA7=0.03, PA6=26.14, PA5=0.03, PA4=0.06, PA3=15.35, PA2=0.04, PA1=0.04, PA0=0.11
14:23:35:281 -> FSR Live: PB0=0.03, PA7=0.01, PA6=26.32, PA5=0.06, PA4=0.03, PA3=15.32, PA2=0.05, PA1=0.05, PA0=0.08
14:23:35:287 -> 51195,2400,S0=46.70 mA, S1=49.10 mA, S2=45.40 mA, S3=50.40 mA, S4=52.80 mA
14:23:35:835 -> FSR Live: PB0=0.01, PA7=0.00, PA6=26.72, PA5=0.01, PA4=0.10, PA3=15.55, PA2=0.05, PA1=0.04, PA0=0.06
14:23:36:081 -> FSR Live: PB0=0.00, PA7=0.00, PA6=26.96, PA5=0.06, PA4=0.05, PA3=15.66, PA2=0.04, PA1=0.04, PA0=0.06
14:23:36:327 -> FSR Live: PB0=0.01, PA7=0.01, PA6=26.74, PA5=0.01, PA4=0.09, PA3=15.66, PA2=0.08, PA1=0.04, PA0=0.09
14:23:36:332 -> Moving servos (us): 2100
14:23:36:337 -> 52241,2100,S0=47.55 mA, S1=47.93 mA, S2=45.20 mA, S3=50.97 mA, S4=52.93 mA
14:23:36:643 -> 52548,2100,S0=94.55 mA, S1=35.60 mA, S2=48.15 mA, S3=43.43 mA, S4=37.03 mA
14:23:36:947 -> 52852,2100,S0=36.97 mA, S1=10.02 mA, S2=45.03 mA, S3=10.02 mA, S4=10.00 mA
